順序,任務說明,目標類型,目標參數,目標數量,獎勵類型,獎勵參數,獎勵數量,獎勵顯示,備註,新增說明
1,將全身的裝備穿滿,equipSlots,0|0,13,gold,,50000,金幣+50000,13個部位穿上任意裝備；雙手武器視同佔用主副手兩格,
2,將全身的裝備替換成稀有品質,equipSlots,2|0,13,gold,,100000,金幣+100000,稀有(含)以上品質皆可,
3,強化裝備10次,upgradeCount,,10,scrap,,200,裝備碎片+200,累計強化成功次數,
4,洗煉裝備2次,rerollCount,,2,essence,,20,附魔精華+20,累計洗煉次數（整件或單條皆計1次）,
5,挑戰荒漠第20關成功,stageClear,desert,20,equip,3|1,1,任意獨特1級裝備×1,通關荒漠地圖第20關,
6,將全身的裝備替換成獨特品質,equipSlots,3|0,13,scrap,,500,裝備碎片+500,獨特(含)以上品質皆可,
7,學習治療技能「再生術」,skillLevel,regenerate,1,skillXp,,10000,技能經驗值+10000,,
8,強化裝備20次,upgradeCount,,20,scrap,,500,裝備碎片+500,累計強化成功次數,
9,挑戰荒漠第30關成功,stageClear,desert,30,equip,3|1|2,1,任意2太古獨特1級裝備×1,獎勵裝備等級依當前關卡,
10,裝備鑲嵌任意寶石8顆,socketCount,,8,gem,1,10,任意1級寶石×10,檢查身上同時鑲嵌的寶石數量，拔下再裝不重複計數,
11,裝備任意附魔2次,enchantCount,,2,book,focus,1,專注附魔×1,累計附魔次數,
12,熔爐裝配任意零件4個,forgeParts,,4,essence,,50,附魔精華+50,檢查熔爐目前已裝配的零件總數,
13,合成寶石1次,composeCount,,1,gem,1,10,任意1級寶石×10,累計合成次數,
14,挑戰荒漠第40關成功,stageClear,desert,40,equip,4|1|2,1,任意2太古史詩1級裝備×1,通關荒漠地圖第40關,
15,穿上4件史詩裝備,equipSlots,4|0,4,scrap,,500,裝備碎片+500,史詩(含)以上品質皆可,
16,裝備鑲嵌任意寶石16顆,socketCount,,16,gem,1,15,任意1級寶石×15,檢查身上同時鑲嵌的寶石數量,
17,升級防禦技能「魔法屏障」至5級,skillLevel,manaBarrier,5,skillXp,,50000,技能經驗值+50000,,
18,生命最大值達5000,maxHp,,5000,gold,,300000,金幣+300000,,
19,挑戰荒漠第50關BOSS成功,stageClear,desert,50,equip,4|50|2,1,任意2太古史詩50級裝備×1,,
20,將全身的裝備替換成50級史詩品質,equipSlots,4|50,13,essence,,100,附魔精華+100,史詩(含)以上且裝備等級50(含)以上,
21,擁有5個太古詞條,ancientCount,,6,essence,,200,附魔精華+200,全身裝備加總的太古詞條(帶星)數,
22,挑戰荒漠第100關BOSS成功,stageClear,desert,100,equip,5|100|3,1,任意3太古傳說100級裝備×1,,
23,強化裝備100次,upgradeCount,,100,essence,,300,附魔精華+300,累計強化成功次數,
24,挑戰荒漠第150關BOSS成功,stageClear,desert,150,equip,5|150|3,1,任意3太古傳說150級裝備×1,挑戰荒漠第150關BOSS成功,
25,挑戰高塔BOSS第5層成功,towerFloor,,5,gem,2,15,任意2級寶石×15,,
26,將全身的裝備替換成150級傳說品質,equipSlots,5|150,13,scrap,,50000,裝備碎片+50000,史詩(含)以上且裝備等級50(含)以上,
27,洗煉裝備100次,rerollCount,,100,essence,,300,附魔精華+300,累計洗煉次數（整件或單條皆計1次）,
28,升級熔爐任意零件至3級,forgePartLevel,,3,gold,,2000000,金幣+2000000,升級熔爐任意零件至3級,
29,挑戰荒漠第200關BOSS成功,stageClear,desert,200,equip,5|200|3,1,任意3太古傳說200級裝備×1,,
30,挑戰冰原第300關BOSS成功,stageClear,Icefield,300,equip,5|300|4,1,任意4太古傳說300級裝備×1,,
31,挑戰沼澤第400關BOSS成功,stageClear,swamp,400,equip,6|400|4,1,任意4神話傳說400級裝備×1,,
